"","GEOID","NAME","TotPop","White","Black","AI","Asian","Pac_il","Other_Race","Multi_Race","MedInc","Pop25","HS","GED","Assoc","Bach","Mast","ProfDeg","Doct","TotalHouse","Occupied","Vacant","TotalOcc","Own","Rent"
"396","42101015200","Census Tract 152, Philadelphia County, Pennsylvania",5436,366,4673,10,107,0,0,280,49581,3482,1510,311,112,424,59,0,35,2641,2179,462,2179,650,1529
"397","42101036203","Census Tract 362.03, Philadelphia County, Pennsylvania",4842,4249,126,103,260,0,87,17,73063,3629,1307,55,283,817,154,16,13,1930,1847,83,1847,1617,230
"398","42101031102","Census Tract 311.02, Philadelphia County, Pennsylvania",4560,859,2166,144,164,0,1028,199,49787,2564,763,163,198,234,117,0,26,1474,1372,102,1372,908,464
"399","42101016901","Census Tract 169.01, Philadelphia County, Pennsylvania",3203,76,2973,0,37,0,117,0,24699,2233,959,198,8,214,44,0,0,1618,1208,410,1208,674,534
"400","42101014201","Census Tract 142.01, Philadelphia County, Pennsylvania",3680,2963,307,26,179,0,0,205,116574,3076,297,0,91,1368,543,186,201,1722,1687,35,1687,657,1030
"401","42101029800","Census Tract 298, Philadelphia County, Pennsylvania",5204,1660,2258,0,212,0,899,175,36563,3253,1399,240,245,151,58,0,27,2156,1948,208,1948,1079,869
"402","42101002702","Census Tract 27.02, Philadelphia County, Pennsylvania",4484,3590,292,0,86,0,76,440,80075,3507,694,97,291,1184,407,95,47,2131,1933,198,1933,1345,588
"403","42101006400","Census Tract 64, Philadelphia County, Pennsylvania",4711,291,3954,139,158,0,31,138,32191,2671,782,114,280,319,58,0,4,1714,1630,84,1630,994,636
"404","42101012000","Census Tract 120, Philadelphia County, Pennsylvania",2130,613,1127,0,166,0,36,188,69500,1203,212,11,142,215,218,102,51,732,642,90,642,327,315
"405","42101007800","Census Tract 78, Philadelphia County, Pennsylvania",4232,2426,875,0,595,34,86,216,55200,3249,494,41,125,870,916,157,173,2307,2130,177,2130,516,1614
"406","42101027300","Census Tract 273, Philadelphia County, Pennsylvania",5749,477,3658,43,975,0,272,324,45680,4506,1143,417,214,453,66,40,71,2388,2388,0,2388,1585,803
"407","42101001700","Census Tract 17, Philadelphia County, Pennsylvania",3029,2262,119,0,87,0,8,553,129300,2216,76,2,120,657,588,416,220,1564,1388,176,1388,922,466
"408","42101002500","Census Tract 25, Philadelphia County, Pennsylvania",4420,2496,1002,145,617,0,27,133,67548,3225,616,163,143,893,495,200,61,2108,2023,85,2023,1117,906
